2025-06-29 21:50:49,363 - INFO - market_data - Starting the SL/TP checker task (triggered by market updates).
2025-06-29 21:50:50,180 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:50:52,444 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:50:54,746 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:50:57,042 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:50:59,303 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:01,649 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:03,887 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:06,167 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:08,526 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:10,780 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:13,052 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:15,344 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:17,652 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:19,880 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:22,142 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:24,486 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:26,901 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:29,026 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:31,352 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:33,698 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:35,946 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:38,250 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:40,573 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:43,123 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:45,175 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:47,529 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:49,776 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:52,053 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:54,404 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:56,740 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:51:58,995 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:01,336 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:03,602 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:05,864 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:08,181 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:10,471 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:12,816 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:15,082 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:17,432 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:19,678 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:21,943 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:24,242 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:26,518 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:28,811 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:31,147 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:33,422 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:35,757 - INFO - market_data - Market data update received, triggering SL/TP check
2025-06-29 21:52:38,007 - INFO - market_data - Market data update received, triggering SL/TP check
